product_name,variant,impact_joules,impact_kN,vehicle_test,image_url,price_basis,price_aed,price_1_2_m,price_2_10_m,price_10_20_m,price_20p_m,currency,cold_storage,source
iflex height restrictor,"iFlex Height Restrictor Top Rail, 1800mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,887.95,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 1900mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,932.88,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 2000mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,977.81,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 2100mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,1555.01,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 2200mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,1599.94,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 2300mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,1644.55,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 2400mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,1689.17,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 2500mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,1734.1,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 2600mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,1779.02,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 2700mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,1819.9,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 2800mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,1860.77,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 2900mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,1911.31,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 3000mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,1961.86,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 3100mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,2008.66,,,,,AED,False,Green Price List (2023 V4)
