Code,Product_Family,Variant,Length_mm,Width_mm,Height_mm,OD_mm,OD_Size_mm,Price_AED,Image_URL,Joule_J,item_id,slug
A-01-17-0154,ForkGuard Kerb Barrier,565 mm,565.0,,565.0,,,385.63,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,513b6b992e33,forkguard-kerb-barrier-565-mm-a-01-17-0154
A-01-17-0155,ForkGuard Kerb Barrier,665 mm,665.0,,665.0,,,424.94,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,4b5a07d97a1a,forkguard-kerb-barrier-665-mm-a-01-17-0155
A-01-17-0156,ForkGuard Kerb Barrier,765 mm,765.0,,765.0,,,459.89,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,94e4160b1032,forkguard-kerb-barrier-765-mm-a-01-17-0156
A-01-17-0157,ForkGuard Kerb Barrier,865 mm,865.0,,865.0,,,492.96,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,3f72f2544fba,forkguard-kerb-barrier-865-mm-a-01-17-0157
A-01-17-0158,ForkGuard Kerb Barrier,965 mm,965.0,,965.0,,,529.78,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,26b690409d01,forkguard-kerb-barrier-965-mm-a-01-17-0158
A-01-17-0159,ForkGuard Kerb Barrier,1065 mm,1065.0,,1065.0,,,562.85,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,deef6de8ed07,forkguard-kerb-barrier-1065-mm-a-01-17-0159
A-01-17-0160,ForkGuard Kerb Barrier,1165 mm,1165.0,,1165.0,,,598.1,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,230e6ada42b0,forkguard-kerb-barrier-1165-mm-a-01-17-0160
A-01-17-0161,ForkGuard Kerb Barrier,1265 mm,1265.0,,1265.0,,,634.92,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,a6da092d6f55,forkguard-kerb-barrier-1265-mm-a-01-17-0161
A-01-17-0162,ForkGuard Kerb Barrier,1365 mm,1365.0,,1365.0,,,672.05,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,41e92e22fe38,forkguard-kerb-barrier-1365-mm-a-01-17-0162
A-01-17-0163,ForkGuard Kerb Barrier,1465 mm,1465.0,,1465.0,,,708.86,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,3dfb9f91145b,forkguard-kerb-barrier-1465-mm-a-01-17-0163
A-01-17-0164,ForkGuard Kerb Barrier,1565 mm,1565.0,,1565.0,,,741.94,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,22118f91f91e,forkguard-kerb-barrier-1565-mm-a-01-17-0164
A-01-17-0165,ForkGuard Kerb Barrier,1665 mm,1665.0,,1665.0,,,775.01,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,05c172fc1cd4,forkguard-kerb-barrier-1665-mm-a-01-17-0165
A-01-17-0166,ForkGuard Kerb Barrier,1765 mm,1765.0,,1765.0,,,808.08,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,c2ec2cef3f44,forkguard-kerb-barrier-1765-mm-a-01-17-0166
A-01-17-0167,ForkGuard Kerb Barrier,1865 mm,1865.0,,1865.0,,,843.34,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,53c352b67013,forkguard-kerb-barrier-1865-mm-a-01-17-0167
A-01-17-0168,ForkGuard Kerb Barrier,1965 mm,1965.0,,1965.0,,,884.21,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,daa74973b2f5,forkguard-kerb-barrier-1965-mm-a-01-17-0168
A-01-17-0240,HD ForkGuard Kerb Barrier,365 mm,365.0,,365.0,,,450.53,https://webcdn.asafe.com/media/rovdmqfg/forkguard-kerb-barrier-hd.png?height=278&v=1d6f4c84a9d3f60&width=578,4500.0,53a1a9625116,hd-forkguard-kerb-barrier-365-mm-a-01-17-0240
A-01-17-0241,HD ForkGuard Kerb Barrier,565 mm,565.0,,565.0,,,602.16,https://webcdn.asafe.com/media/rovdmqfg/forkguard-kerb-barrier-hd.png?height=278&v=1d6f4c84a9d3f60&width=578,4500.0,7703cb3316bd,hd-forkguard-kerb-barrier-565-mm-a-01-17-0241
A-01-17-0228,HD ForkGuard Kerb Barrier,765 mm,765.0,,765.0,,,1109.78,https://webcdn.asafe.com/media/rovdmqfg/forkguard-kerb-barrier-hd.png?height=278&v=1d6f4c84a9d3f60&width=578,4500.0,b3a0304fafec,hd-forkguard-kerb-barrier-765-mm-a-01-17-0228
